wiki_bot - 25-08-24 | 15:56:28 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Pakistan
wiki_bot - 25-08-24 | 15:56:29 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:29 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:29 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:29 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Namibia
wiki_bot - 25-08-24 | 15:56:30 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:30 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:30 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:30 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Mozambique
wiki_bot - 25-08-24 | 15:56:31 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:31 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:31 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:32 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Turkey
wiki_bot - 25-08-24 | 15:56:33 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:33 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:33 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:33 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Chile
wiki_bot - 25-08-24 | 15:56:34 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:34 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:34 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:34 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Zambia
wiki_bot - 25-08-24 | 15:56:35 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:35 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:35 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:35 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Myanmar
wiki_bot - 25-08-24 | 15:56:36 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:36 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:36 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:37 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Afghanistan
wiki_bot - 25-08-24 | 15:56:38 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:38 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:38 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:38 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/South_Sudan
wiki_bot - 25-08-24 | 15:56:39 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:39 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:39 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:40 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/France
wiki_bot - 25-08-24 | 15:56:40 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:40 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:40 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:41 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Somalia
wiki_bot - 25-08-24 | 15:56:42 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:42 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:42 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:42 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Central_African_Republic
wiki_bot - 25-08-24 | 15:56:43 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:43 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:43 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:43 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Ukraine
wiki_bot - 25-08-24 | 15:56:44 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:44 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:44 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:44 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Madagascar
wiki_bot - 25-08-24 | 15:56:45 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:45 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:45 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:45 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Botswana
wiki_bot - 25-08-24 | 15:56:46 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:46 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:46 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:46 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Kenya
wiki_bot - 25-08-24 | 15:56:47 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:47 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:47 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:47 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/France
wiki_bot - 25-08-24 | 15:56:48 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:48 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:48 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:48 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Metropolitan_France
wiki_bot - 25-08-24 | 15:56:48 - WARNING - The current country https://en.wikipedia.org//wiki/Metropolitan_France doesn't have a valid information page
wiki_bot - 25-08-24 | 15:56:49 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Yemen
wiki_bot - 25-08-24 | 15:56:49 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:49 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:49 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:50 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Thailand
wiki_bot - 25-08-24 | 15:56:51 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:51 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:51 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:51 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Spain
wiki_bot - 25-08-24 | 15:56:52 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:52 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:52 - INFO - Country fetched succesfully!
